PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, AC79
Station name, Montague2_AK2010
Begin Date, 2010-07-30
End Date, 2017-03-20
Release Date, 2017-03-22
Source file, AC79.pbo.nam08.pos
Offset from source file, 93.99 mm North, -35.44 mm East, -7.68 mm Vertical
Reference position, 59.9978699330 North Latitude, -147.4030448395 East Longitude, 287.76134 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2014-12-24,201.04, -73.11, -10.91, 1.45, 1.08, 4.44, suppf,
2014-12-25,201.49, -73.48, -13.08, 1.6, 1.18, 4.9, suppf,
2014-12-26,200.48, -71.71, -17.04, 1.83, 1.33, 5.59, suppf,
2014-12-27,201.60, -74.69, -17.34, 1.32, 0.97, 4.03, suppf,
2014-12-28,202.51, -75.23, -21.59, 1.46, 1.07, 4.51, suppf,
2014-12-29,203.15, -74.66, -19.15, 1.7, 1.23, 5.27, suppf,
2014-12-30,201.57, -77.17, -21.18, 1.66, 1.22, 5.11, suppf,
2014-12-31,201.54, -75.69, -19.01, 1.76, 1.3, 5.44, suppf,
2015-01-01,200.30, -73.86, -8.33, 1.58, 1.16, 4.86, suppf,
2015-01-02,202.56, -73.98, -10.23, 1.42, 1.05, 4.39, suppf,
2015-01-03,202.60, -74.97, -15.27, 1.28, 0.95, 3.95, suppf,
2015-01-04,202.67, -75.02, -18.14, 1.4, 1.03, 4.28, suppf,
2015-01-05,203.07, -75.62, -14.14, 1.23, 0.9, 3.79, suppf,
2015-01-06,203.75, -75.79, -15.94, 1.42, 1.06, 4.32, suppf,
2015-01-07,203.25, -76.06, -13.57, 1.43, 1.1, 4.43, suppf,
2015-01-08,203.82, -77.56, -17.85, 1.59, 1.16, 4.87, suppf,
2015-01-09,202.97, -75.43, -14.26, 1.47, 1.05, 4.4, suppf,
2015-01-10,201.96, -74.81, -10.84, 1.33, 0.99, 4.07, suppf,
2015-01-11,203.89, -75.32, -9.67, 1.32, 0.98, 4.07, suppf,
2015-01-12,204.94, -75.90, -9.46, 1.42, 1.05, 4.38, suppf,
2015-01-13,205.45, -76.16, -8.90, 1.63, 1.21, 5, suppf,
2015-01-14,204.96, -74.71, -10.74, 1.61, 1.2, 4.97, suppf,
2015-01-15,204.92, -73.82, -0.12, 1.59, 1.18, 4.83, suppf,
2015-01-16,205.30, -74.29, 1.67, 1.71, 1.26, 5.19, suppf,
2015-01-17,203.67, -74.65, -1.62, 1.53, 1.12, 4.66, suppf,
2015-01-18,203.26, -74.15, -4.98, 1.4, 1.04, 4.31, suppf,
2015-01-19,204.02, -74.53, -13.16, 1.32, 1, 4.08, suppf,
2015-01-20,204.66, -75.60, -9.33, 1.36, 1.02, 4.17, suppf,
2015-01-21,204.22, -76.01, -7.36, 1.32, 1, 4.07, suppf,
2015-01-22,204.21, -76.29, -7.75, 1.43, 1.06, 4.4, suppf,
2015-01-23,203.21, -75.25, -2.36, 1.42, 1.07, 4.4, suppf,
2015-01-24,202.75, -76.32, -9.33, 1.4, 1.07, 4.43, suppf,
2015-01-25,204.80, -75.67, -8.78, 1.43, 1.07, 4.43, suppf,
2015-01-26,204.97, -76.09, -9.47, 1.3, 0.99, 4.03, suppf,
2015-01-27,204.89, -76.37, -10.98, 1.25, 0.94, 3.88, suppf,
2015-01-28,205.06, -76.20, -15.25, 1.3, 0.97, 4.02, suppf,
2015-01-29,205.94, -79.90, -16.46, 1.38, 1.03, 4.27, suppf,
2015-01-30,206.60, -76.97, -19.59, 1.49, 1.09, 4.52, suppf,
2015-01-31,205.92, -76.44, -19.79, 1.27, 0.95, 3.93, suppf,
2015-02-01,206.31, -76.45, -14.90, 1.25, 0.94, 3.89, suppf,
2015-02-02,206.26, -77.55, -7.98, 3.03, 2.09, 8.14, suppf,
2015-02-03,206.28, -77.25, -7.10, 2.81, 2, 7.69, suppf,
2015-02-04,205.85, -78.26, -10.28, 2.77, 2.03, 7.68, suppf,
2015-02-05,206.33, -78.47, -9.52, 2.67, 1.89, 7.58, suppf,
2015-02-06,208.11, -77.22, -9.87, 2.63, 1.94, 7.61, suppf,
2015-02-07,205.11, -78.09, -5.75, 2.7, 1.98, 7.71, suppf,
2015-02-08,205.66, -78.00, -9.47, 1.23, 0.93, 3.86, suppf,
2015-02-09,207.32, -78.33, -15.89, 1.51, 1.14, 4.72, suppf,
2015-02-10,207.58, -78.67, -15.78, 1.36, 1.03, 4.25, suppf,
2015-02-11,206.92, -78.23, -10.53, 1.38, 1.04, 4.33, suppf,
2015-02-12,207.60, -79.02, -10.64, 1.38, 1.04, 4.32, suppf,
2015-02-13,206.35, -78.65, -10.45, 1.44, 1.07, 4.47, suppf,
2015-02-14,208.99, -79.99, -16.88, 1.35, 1.01, 4.2, suppf,
2015-02-15,210.36, -78.63, -16.39, 1.41, 1.05, 4.36, suppf,
2015-02-16,209.55, -79.67, -17.74, 1.57, 1.16, 4.88, suppf,
2015-02-17,209.96, -77.16, -9.32, 1.61, 1.21, 5.02, suppf,
2015-02-18,208.86, -76.42, -11.98, 1.43, 1.07, 4.43, suppf,
2015-02-19,208.91, -76.70, -13.48, 1.32, 0.99, 4.08, suppf,
2015-02-20,208.15, -77.43, -17.24, 1.43, 1.07, 4.4, suppf,
2015-02-21,207.85, -76.50, -16.77, 1.5, 1.12, 4.69, suppf,
2015-02-22,209.75, -76.89, -18.66, 1.69, 1.27, 5.28, suppf,
2015-02-23,207.71, -76.54, -17.13, 1.49, 1.13, 4.65, suppf,
2015-02-24,209.38, -76.95, -17.32, 1.39, 1.07, 4.35, suppf,
2015-02-25,208.95, -76.69, -15.26, 1.37, 1.06, 4.27, suppf,
2015-02-26,210.43, -77.41, -14.25, 1.23, 0.97, 3.86, suppf,
2015-02-27,209.49, -77.68, -13.01, 2.54, 1.9, 7.11, suppf,
2015-02-28,208.89, -77.21, -10.23, 1.38, 1.07, 4.31, suppf,
2015-03-01,209.77, -76.94, -13.59, 1.49, 1.14, 4.59, suppf,
2015-03-02,210.41, -78.12, -11.73, 1.63, 1.27, 4.99, suppf,
2015-03-03,209.96, -78.29, -12.90, 1.48, 1.13, 4.54, suppf,
2015-03-04,209.99, -78.39, -9.00, 1.34, 1.03, 4.1, suppf,
2015-03-05,209.84, -78.21, -12.72, 1.38, 1.09, 4.17, suppf,
2015-03-06,209.87, -77.61, -14.77, 1.42, 1.1, 4.36, suppf,
2015-03-07,209.29, -75.72, -10.95, 1.54, 1.18, 4.71, suppf,
2015-03-08,209.29, -77.10, -13.31, 1.63, 1.22, 5.05, suppf,
2015-03-09,211.40, -80.22, -7.44, 1.59, 1.19, 4.94, suppf,
2015-03-10,211.62, -78.60, -8.16, 1.5, 1.14, 4.66, suppf,
2015-03-11,210.89, -78.44, -14.94, 1.23, 0.94, 3.86, suppf,
2015-03-12,210.66, -78.92, -11.52, 1.3, 1, 4.19, suppf,
2015-03-13,210.27, -78.86, -10.70, 1.3, 0.98, 4.04, suppf,
2015-03-14,210.72, -79.73, -4.16, 1.24, 0.94, 3.86, suppf,
2015-03-15,212.12, -79.02, -7.52, 1.19, 0.9, 3.75, suppf,
2015-03-16,212.06, -78.31, -8.21, 1.49, 1.13, 4.67, suppf,
2015-03-17,211.46, -79.69, -14.82, 2.15, 1.62, 6.36, suppf,
2015-03-18,212.96, -79.21, -16.80, 1.69, 1.24, 5.25, suppf,
2015-03-19,212.36, -79.26, -15.53, 1.69, 1.25, 5.2, suppf,
2015-03-20,212.86, -78.63, -11.99, 1.44, 1.1, 4.55, suppf,
2015-03-21,211.67, -79.14, -13.89, 1.31, 0.99, 4.09, suppf,
2015-03-22,211.74, -78.91, -16.88, 1.28, 0.97, 4, suppf,
2015-03-23,211.68, -78.98, -14.70, 1.28, 0.96, 3.97, suppf,
2015-03-24,212.44, -79.63, -10.72, 1.3, 0.98, 4.03, suppf,
2015-03-25,213.56, -79.12, -12.61, 1.37, 1.02, 4.24, suppf,
2015-03-26,214.60, -80.61, -11.91, 1.49, 1.11, 4.62, suppf,
2015-03-27,214.65, -79.98, -8.59, 1.59, 1.19, 4.94, suppf,
2015-03-28,213.72, -79.83, -8.10, 1.47, 1.09, 4.58, suppf,
2015-03-29,213.53, -79.37, -8.26, 1.45, 1.1, 4.53, suppf,
2015-03-30,213.45, -79.91, -12.37, 1.49, 1.14, 4.69, suppf,
2015-03-31,212.57, -79.93, -13.10, 1.43, 1.11, 4.52, suppf,
2015-04-01,215.03, -79.91, -12.69, 1.41, 1.08, 4.4, suppf,
2015-04-02,214.27, -80.25, -16.42, 1.39, 1.05, 4.31, suppf,
2015-04-03,214.30, -79.68, -15.77, 1.29, 0.98, 3.99, suppf,
2015-04-04,214.60, -79.62, -13.20, 1.29, 0.97, 3.94, suppf,
2015-04-05,214.96, -80.59, -11.34, 1.45, 1.1, 4.5, suppf,
2015-04-06,215.57, -79.57, -7.76, 1.39, 1.05, 4.31, suppf,
2015-04-07,214.77, -79.95, -4.40, 1.67, 1.23, 5.18, suppf,
2015-04-08,215.39, -79.39, -8.88, 1.53, 1.14, 4.72, suppf,
2015-04-09,216.41, -79.26, -0.08, 1.44, 1.07, 4.43, suppf,
2015-04-10,214.56, -80.58, 1.64, 1.62, 1.19, 4.99, suppf,
2015-04-11,216.80, -81.22, -5.98, 1.61, 1.18, 4.93, suppf,
2015-04-12,214.24, -80.11, -8.74, 1.52, 1.11, 4.66, suppf,
2015-04-13,215.62, -80.17, -8.34, 1.49, 1.11, 4.58, suppf,
2015-04-14,216.45, -79.88, -14.13, 1.48, 1.1, 4.54, suppf,
2015-04-15,216.26, -81.19, -8.80, 1.55, 1.16, 4.72, suppf,
2015-04-16,216.10, -80.87, -14.51, 1.53, 1.13, 4.65, suppf,
2015-04-17,217.33, -80.12, -15.77, 1.71, 1.23, 5.14, suppf,
2015-04-18,217.27, -81.87, -20.69, 1.5, 1.1, 4.58, suppf,
2015-04-19,217.28, -79.03, -17.04, 1.65, 1.19, 5.06, suppf,
2015-04-20,217.32, -78.63, -15.42, 1.56, 1.13, 4.77, suppf,
2015-04-21,214.58, -81.25, -12.15, 1.67, 1.24, 5.14, suppf,
2015-04-22,217.77, -79.46, -16.18, 1.47, 1.08, 4.53, suppf,
2015-04-23,216.94, -79.86, -14.93, 1.26, 0.94, 3.88, suppf,
2015-04-24,216.25, -80.20, -14.95, 1.31, 0.96, 4.05, suppf,
2015-04-25,217.15, -80.52, -15.09, 1.4, 1.04, 4.34, suppf,
2015-04-26,217.59, -80.89, -15.23, 1.42, 1.06, 4.39, suppf,
2015-04-27,218.04, -81.46, -14.04, 1.46, 1.07, 4.51, suppf,
2015-04-28,216.80, -79.34, -12.64, 1.53, 1.12, 4.71, suppf,
2015-04-29,216.90, -81.06, -14.90, 1.38, 1.02, 4.29, suppf,
2015-04-30,216.46, -82.01, -15.73, 1.33, 0.99, 4.12, suppf,
2015-05-01,216.62, -81.86, -17.65, 2.27, 1.76, 5.44, suppf,
2015-05-02,216.83, -81.93, -20.31, 2.21, 1.67, 5.53, suppf,
2015-05-03,217.66, -82.17, -22.24, 2.11, 1.53, 5.52, suppf,
2015-05-04,218.43, -81.88, -17.87, 2.14, 1.53, 5.49, suppf,
2015-05-05,218.36, -82.97, -17.93, 2.31, 1.67, 5.94, suppf,
2015-05-06,217.33, -83.17, -15.04, 2.38, 1.72, 6.13, suppf,
2015-05-07,219.22, -84.99, -22.05, 2.25, 1.61, 6.05, suppf,
2015-05-08,220.22, -84.08, -20.95, 2.26, 1.66, 5.88, suppf,
2015-05-09,219.36, -81.45, -19.64, 2.26, 1.64, 5.95, suppf,
2015-05-10,219.60, -80.63, -18.24, 2.28, 1.66, 5.92, suppf,
2015-05-11,220.08, -81.38, -19.21, 2.48, 1.87, 6.05, suppf,
2015-05-12,218.39, -81.96, -19.01, 2.22, 1.72, 5.8, suppf,
2015-05-13,218.95, -82.24, -18.60, 2.68, 2.01, 6.59, suppf,
2015-05-14,218.79, -81.33, -11.55, 2.5, 1.89, 6.3, suppf,
2015-05-15,219.85, -81.56, -14.68, 2.77, 2.16, 7.16, suppl,
2015-05-16,218.87, -82.95, -21.72, 2.57, 2.1, 6.58, suppl,
2015-05-24,219.75, -84.98, -13.62, 2.24, 1.67, 5.87, suppl,
2015-05-25,219.92, -83.72, -12.68, 2.31, 1.7, 6.16, suppl,
2015-05-26,219.34, -84.75, -12.89, 2.34, 1.73, 6.23, suppl,
2015-05-27,220.03, -84.25, -16.36, 2.32, 1.69, 6.04, suppl,
2015-05-28,220.40, -84.94, -23.78, 2.45, 1.85, 6.48, suppl,
2015-05-29,219.58, -84.62, -20.02, 2.31, 1.74, 6.01, suppl,
2015-05-30,219.48, -85.45, -17.83, 2.34, 1.69, 6.61, suppl,
2015-05-31,220.08, -85.56, -13.94, 2.48, 1.88, 6.03, suppl,
2015-06-01,220.63, -84.70, -12.39, 2.09, 1.52, 5.77, suppl,
2015-06-02,220.11, -84.76, -13.82, 2.3, 1.71, 5.66, suppl,
2015-06-03,220.76, -84.71, -10.17, 2.36, 1.74, 6.47, suppl,
2015-06-04,221.95, -86.37, -13.56, 2.32, 1.72, 5.96, suppl,
2015-06-05,222.04, -83.76, -9.22, 2.31, 1.75, 6.06, suppl,
2015-06-06,221.34, -83.99, -11.26, 2.18, 1.65, 5.63, suppl,
2015-06-07,221.31, -83.03, -8.43, 2.67, 2.07, 6.44, suppl,
2015-06-08,220.40, -84.13, -11.67, 2.94, 2.25, 6.99, suppl,
2015-06-09,221.42, -84.61, -15.60, 2.76, 2.12, 7.35, suppl,
2015-06-10,221.59, -83.47, -10.64, 2.67, 2.03, 6.52, suppl,
2015-06-11,220.99, -83.99, -16.99, 2.89, 2.22, 6.99, suppl,
2015-06-12,222.35, -83.14, -15.75, 2.75, 2.1, 7.19, suppl,
2015-06-13,221.39, -83.80, -16.01, 2.8, 2.1, 6.95, suppl,
2015-06-14,222.61, -83.18, -14.78, 2.91, 2.18, 7.51, suppl,
2015-12-13,242.74, -93.72, -3.14, 2.39, 1.66, 6.3, suppl,
2015-12-14,242.39, -91.37, -9.26, 2.42, 1.65, 6.32, suppl,
2015-12-15,243.81, -93.56, -14.58, 2.32, 1.6, 6, suppl,
2015-12-16,243.95, -93.93, -12.07, 2.28, 1.6, 5.94, suppl,
2015-12-17,246.01, -95.16, -7.91, 2.28, 1.6, 5.97, suppl,
2015-12-18,243.67, -93.98, -4.79, 2.2, 1.53, 5.74, suppl,
2015-12-19,244.99, -94.76, -2.36, 2.26, 1.57, 5.86, suppl,
2015-12-20,242.67, -94.37, -3.58, 3.09, 2.22, 6.95, suppl,
2015-12-21,243.13, -95.52, -7.10, 2.76, 1.98, 6.37, suppl,
2015-12-22,243.43, -96.27, -0.79, 2.3, 1.63, 5.62, suppl,
2015-12-23,244.04, -94.42, -4.78, 2.24, 1.6, 5.41, suppl,
2015-12-24,244.05, -94.03, -8.18, 2.31, 1.65, 5.64, suppl,
2015-12-25,246.10, -94.91, -9.11, 2.57, 1.83, 5.94, suppl,
2015-12-26,247.89, -94.33, -12.67, 2.74, 1.99, 6.63, suppl,
2015-12-27,246.19, -94.91, -11.11, 2.42, 1.7, 6.12, suppl,
2015-12-29,246.72, -94.44, -14.56, 2.61, 1.84, 6.08, suppl,
2015-12-30,246.58, -94.12, -13.11, 2.95, 2.06, 6.83, suppl,
2015-12-31,247.58, -93.86, -6.79, 2.79, 1.98, 6.5, suppl,
2016-01-01,248.64, -93.34, -7.77, 2.71, 1.93, 6.37, suppl,
2016-01-03,247.59, -94.08, -10.20, 2.63, 1.87, 6.8, suppl,
2016-01-04,249.51, -94.73, -7.61, 2.6, 1.84, 6.74, suppl,
2016-01-05,248.06, -92.34, -3.70, 2.62, 1.84, 6.61, suppl,
2016-01-06,246.99, -93.22, -9.46, 2.47, 1.75, 6.15, suppl,
2016-01-07,248.51, -92.80, -12.45, 2.51, 1.82, 6.33, suppl,
2016-01-08,249.24, -94.11, -15.06, 2.46, 1.75, 6.23, suppl,
2016-01-09,249.14, -93.37, -8.50, 2.59, 1.84, 6.83, suppl,
2016-01-10,249.77, -95.16, -15.58, 2.21, 1.59, 5.99, suppl,
2016-01-11,248.46, -92.86, -9.95, 2.19, 1.58, 5.95, suppl,
2016-01-12,247.82, -92.91, -9.45, 2.03, 1.48, 5.56, suppl,
2016-01-13,248.22, -93.17, -11.64, 2.35, 1.72, 6.12, suppl,
2016-01-14,248.56, -92.99, -16.10, 2.32, 1.71, 6.04, suppl,
2016-01-15,248.68, -93.90, -18.47, 2.41, 1.74, 6.19, suppl,
2016-01-16,248.69, -92.39, -11.33, 2.34, 1.74, 6.18, suppl,
2016-01-17,249.35, -93.83, -10.80, 2.4, 1.73, 6.25, suppl,
2016-01-18,247.90, -93.52, -8.69, 2.42, 1.74, 6.22, suppl,
2016-01-19,250.13, -94.18, -12.32, 2.53, 1.82, 6.48, suppl,
2016-01-20,250.11, -94.81, -13.02, 2.94, 2.11, 7.5, suppl,
2016-01-21,249.02, -94.91, -13.17, 2.65, 1.92, 7.12, suppl,
2016-01-22,250.81, -95.70, -8.20, 2.45, 1.81, 6.36, suppl,
2016-01-23,249.42, -94.24, -4.52, 2.41, 1.76, 6.25, suppl,
2016-01-24,250.24, -93.08, -9.23, 2.28, 1.68, 5.59, suppl,
2016-01-25,250.11, -90.88, -6.94, 2.35, 1.77, 5.94, suppl,
2016-01-26,248.78, -92.39, -7.08, 2.49, 1.88, 6.42, suppl,
2016-01-27,250.21, -91.24, -6.70, 2.52, 1.9, 6.34, suppl,
2016-01-28,248.94, -91.31, -3.18, 2.41, 1.82, 6.04, suppl,
2016-01-29,249.80, -91.70, -9.60, 2.32, 1.77, 5.99, suppl,
2016-01-30,250.58, -92.32, -7.14, 2.35, 1.79, 5.84, suppl,
2016-01-31,251.20, -92.15, -12.04, 2.16, 1.63, 5.64, suppl,
2016-02-01,251.48, -93.24, -14.11, 2.58, 1.94, 6.44, suppl,
2016-02-02,253.30, -94.60, -14.92, 2.37, 1.79, 5.97, suppl,
2016-02-03,256.22, -93.17, -16.59, 4.38, 3.24, 11.48, suppl,
2016-02-04,252.98, -92.79, -3.78, 2.75, 2.01, 7.02, suppl,
2016-02-05,251.46, -92.91, -12.72, 2.52, 1.85, 6.38, suppl,
2016-02-06,251.73, -94.02, -16.12, 2.44, 1.83, 6.19, suppl,
2016-02-07,253.09, -93.79, -22.11, 2.5, 1.9, 6.14, suppl,
2016-02-08,254.92, -92.07, -18.03, 2.41, 1.81, 6.13, suppl,
2016-02-09,251.63, -93.31, -26.18, 2.35, 1.8, 6.01, suppl,
2016-02-10,252.47, -94.16, -16.50, 2.4, 1.83, 5.91, suppl,
2016-02-11,253.13, -92.74, -15.71, 2.62, 2.02, 6.45, suppl,
2016-02-12,252.34, -93.61, -15.68, 2.5, 1.93, 6.17, suppl,
2016-02-13,252.67, -92.12, -13.78, 2.38, 1.84, 5.87, suppl,
2016-02-14,253.21, -92.90, -11.83, 2.46, 1.89, 6.4, suppl,
2016-02-15,253.85, -91.83, -18.36, 2.45, 1.87, 6.27, suppl,
2016-02-16,252.46, -92.60, -19.13, 2.7, 2.06, 6.91, suppl,
2016-02-17,253.33, -93.72, -10.57, 2.62, 1.97, 6.63, suppl,
2016-02-18,253.61, -93.73, -4.69, 2.59, 1.95, 6.62, suppl,
2016-02-19,253.04, -93.45, -6.27, 2.46, 1.89, 6.26, suppl,
2016-02-20,254.67, -93.78, -11.64, 2.41, 1.83, 6.29, suppl,
2016-02-21,251.75, -92.46, -7.65, 2.47, 1.88, 6.79, suppl,
2016-02-22,256.08, -92.56, -19.18, 2.65, 1.99, 7.49, suppl,
2016-02-23,254.58, -93.79, -23.24, 2.49, 1.87, 7, suppl,
2016-02-24,253.48, -91.69, -13.20, 2.61, 1.95, 7.23, suppl,
2016-02-25,254.50, -91.72, -14.82, 2.56, 1.93, 7.11, suppl,
2016-02-26,255.86, -93.44, -17.84, 2.46, 1.88, 7.05, suppl,
2016-02-27,255.26, -93.34, -12.65, 2.47, 1.85, 6.87, suppl,
2016-02-28,253.97, -91.55, -7.88, 2.6, 1.91, 6.75, suppl,
2016-02-29,256.04, -92.96, -19.81, 2.33, 1.74, 6.45, suppl,
2016-03-01,256.17, -94.10, -14.65, 2.32, 1.74, 6.5, suppl,
2016-03-02,255.98, -94.90, -15.91, 2.11, 1.62, 5.89, suppl,
2016-03-03,255.14, -94.39, -16.82, 2.04, 1.59, 5.74, suppl,
2016-03-04,255.85, -95.03, -11.85, 2.12, 1.61, 5.94, suppl,
2016-03-05,254.85, -96.51, -9.94, 1.95, 1.5, 5.57, suppl,
2016-03-06,254.89, -95.08, -4.67, 2.59, 1.89, 6.98, suppl,
2016-03-07,254.19, -95.20, -9.00, 2.53, 1.87, 6.68, suppl,
2016-03-08,254.25, -94.96, -11.57, 2.49, 1.85, 6.72, suppl,
2016-03-09,253.59, -94.70, -12.49, 2.31, 1.72, 6.31, suppl,
2016-03-10,254.97, -95.40, -6.26, 2.34, 1.77, 6.3, suppl,
2016-03-11,254.80, -94.99, -7.92, 2.25, 1.68, 6.25, suppl,
2016-03-12,255.80, -95.57, -11.58, 2.51, 1.87, 6.86, suppl,
2016-03-13,256.15, -96.29, -11.78, 1.98, 1.54, 5.6, suppf,
2016-03-14,256.02, -96.20, -13.24, 2.02, 1.56, 5.29, suppf,
2016-03-15,256.47, -96.11, -31.08, 2.12, 1.63, 5.55, suppf,
2016-03-16,256.64, -96.57, -35.30, 2.08, 1.61, 5.41, suppf,
2016-03-17,257.93, -96.80, -35.16, 2.19, 1.69, 5.78, suppf,
2016-03-18,257.96, -98.09, -32.41, 2.28, 1.74, 5.96, suppf,
2016-03-19,257.04, -96.44, -27.77, 2.07, 1.58, 5.62, suppf,
2016-03-20,258.43, -96.65, -15.24, 2.53, 1.91, 7.07, suppf,
2016-03-21,257.11, -96.49, -14.37, 2.45, 1.84, 6.71, suppf,
2016-03-22,258.48, -95.86, -16.55, 2.4, 1.81, 6.6, suppf,
2016-03-23,258.65, -95.73, -16.57, 2.42, 1.83, 6.73, suppf,
2016-03-24,258.62, -95.88, -21.70, 2.37, 1.79, 6.61, suppf,
2016-03-25,258.82, -95.31, -22.65, 2.37, 1.79, 6.67, suppf,
2016-03-26,259.98, -95.95, -20.27, 2.18, 1.78, 6.31, suppf,
2016-03-27,258.04, -95.60, -21.02, 1.94, 1.52, 5.2, suppf,
2016-03-28,259.06, -96.03, -16.33, 2.13, 1.62, 5.78, suppf,
2016-03-29,259.10, -95.23, -17.64, 2.34, 1.79, 6.42, suppf,
2016-03-30,261.37, -94.95, -21.09, 2.21, 1.68, 6.01, suppf,
2016-03-31,261.10, -95.55, -22.60, 2.09, 1.61, 5.72, suppf,
2016-04-01,260.73, -96.30, -21.31, 2.2, 1.64, 5.89, suppf,
2016-04-02,259.29, -96.40, -22.21, 2.25, 1.72, 5.95, suppf,
2016-04-03,259.06, -96.10, -19.82, 2.52, 1.88, 7.18, suppf,
2016-04-04,259.13, -96.87, -20.63, 2.38, 1.81, 6.82, suppf,
2016-04-05,259.92, -96.95, -17.88, 2.29, 1.73, 6.46, suppf,
2016-04-06,260.95, -96.12, -22.33, 2.24, 1.7, 6.35, suppf,
2016-04-07,259.37, -95.73, -20.10, 2.43, 1.8, 6.98, suppf,
2016-04-08,258.39, -94.82, -15.85, 2.46, 1.84, 7.04, suppf,
2016-04-09,261.88, -97.93, -22.47, 2.42, 1.81, 7.01, suppf,
2016-04-10,263.15, -96.95, -19.41, 2.44, 1.81, 7.11, suppf,
2016-04-11,261.11, -95.32, -13.21, 2.5, 1.85, 7.24, suppf,
2016-04-12,261.05, -95.57, -15.48, 2.54, 1.84, 7.23, suppf,
2016-04-13,260.73, -96.10, -17.15, 2.59, 1.91, 7.22, suppf,
2016-04-14,261.89, -96.70, -16.06, 2.62, 1.92, 7.31, suppf,
2016-04-15,262.47, -96.75, -17.53, 2.37, 1.78, 6.84, suppf,
2016-04-16,261.80, -96.71, -22.81, 2.53, 1.86, 7.17, suppf,
2016-04-17,260.96, -97.33, -23.06, 2.48, 1.84, 6.91, suppf,
2016-04-18,260.78, -97.00, -21.52, 2.33, 1.74, 6.57, suppf,
2016-04-19,261.63, -97.27, -20.22, 2.47, 1.85, 7, suppf,
2016-04-20,261.29, -97.08, -21.60, 2.42, 1.78, 6.79, suppf,
2016-04-21,260.95, -97.25, -20.78, 2.34, 1.73, 6.54, suppf,
2016-04-22,261.58, -97.76, -20.62, 2.45, 1.76, 6.72, suppf,
2016-04-23,261.42, -97.96, -17.49, 2.48, 1.82, 6.91, suppf,
2016-04-24,261.09, -98.24, -22.93, 2.41, 1.78, 5.99, suppf,
2016-04-25,263.24, -98.87, -19.94, 2.38, 1.78, 6.02, suppf,
2016-04-26,263.21, -99.39, -23.38, 2.38, 1.77, 5.8, suppf,
2016-04-27,261.85, -97.42, -19.34, 2.42, 1.79, 5.85, suppf,
2016-04-28,261.85, -98.12, -19.74, 2.31, 1.74, 5.52, suppf,
2016-04-29,262.87, -98.24, -23.31, 2.41, 1.81, 5.82, suppf,
2016-04-30,262.89, -98.10, -21.66, 2.34, 1.74, 5.69, suppf,
2016-05-01,262.31, -98.64, -20.20, 2.5, 1.8, 5.82, suppf,
2016-05-02,261.63, -97.62, -19.14, 2.58, 1.87, 5.95, suppf,
2016-05-03,263.63, -98.94, -21.67, 2.46, 1.79, 5.61, suppf,
2016-05-04,263.54, -97.67, -20.89, 2.36, 1.77, 5.6, suppf,
2016-05-05,263.52, -98.07, -18.49, 2.47, 1.81, 5.77, suppf,
2016-05-06,261.22, -98.20, -17.25, 2.59, 1.86, 5.89, suppf,
2016-05-07,263.00, -97.82, -21.49, 2.43, 1.78, 5.67, suppf,
2016-05-08,264.27, -98.06, -19.50, 2.84, 2.13, 6.58, suppf,
2016-05-09,263.00, -97.64, -19.24, 2.44, 1.83, 5.92, suppf,
2016-05-10,263.73, -97.98, -15.03, 2.4, 1.8, 5.94, suppf,
2016-05-11,264.04, -98.77, -23.55, 2.38, 1.78, 5.94, suppf,
2016-05-12,264.21, -98.51, -20.38, 2.38, 1.78, 5.69, suppf,
2016-05-13,264.23, -98.49, -23.95, 2.43, 1.81, 5.83, suppf,
2016-05-14,262.49, -98.54, -21.85, 2.4, 1.78, 5.82, suppf,
2016-05-15,263.64, -99.27, -23.82, 2.88, 2.06, 6.05, suppf,
2016-05-16,264.40, -99.51, -20.76, 2.55, 1.84, 5.83, suppf,
2016-05-17,263.18, -99.50, -14.00, 2.66, 1.92, 6.66, suppf,
2016-05-18,263.79, -99.59, -19.59, 2.41, 1.74, 5.68, suppf,
2016-05-19,263.84, -99.78, -21.38, 2.54, 1.84, 5.87, suppf,
2016-05-20,264.40, -99.30, -17.79, 2.6, 1.86, 6.11, suppf,
2016-05-21,263.26, -101.17, -8.93, 2.86, 2.03, 7.2, suppf,
2016-05-22,265.18, -98.66, -19.77, 2.34, 1.71, 5.62, suppf,
2016-05-23,266.21, -99.02, -20.32, 2.56, 1.85, 6.38, suppf,
2016-05-24,264.53, -99.29, -20.40, 2.51, 1.82, 6.08, suppf,
2016-05-25,264.14, -98.82, -18.27, 2.52, 1.84, 5.91, suppf,
2016-05-26,264.29, -99.05, -20.12, 2.47, 1.9, 5.91, suppf,
2016-05-27,266.28, -99.51, -20.41, 2.44, 1.81, 5.69, suppf,
2016-05-28,265.16, -99.53, -23.34, 2.39, 1.75, 5.61, suppf,
2016-05-29,265.09, -100.05, -20.14, 2.48, 1.84, 5.83, suppf,
2016-05-30,265.86, -100.36, -23.43, 2.37, 1.78, 5.68, suppf,
2016-05-31,265.16, -100.30, -21.54, 2.35, 1.77, 5.67, suppf,
